time;throughput;snd_responsetime;rcv_responsetime
110;182.0;139.90191023;77.4327309917
111;2.0;5575.652103;5571.548222
112;2.0;5579.665298;5573.329352
113;2.0;5579.716979;5576.318788
114;2.0;5576.512275;5574.697989
115;2.0;5576.502675;2.133866
116;32.0;5581.23247425;2790.71717183
117;2.0;1973.317811;7512.508725
118;1540.0;83.527236382;39.1631667929
119;1590.0;27.1782272495;14.4529919915
120;1737.0;23.6406048612;13.7557679058
121;1677.0;25.2875802766;13.5103891096
122;1626.0;25.7999077426;14.7674685933
123;1688.0;24.7207931212;14.9753338696
124;1518.0;27.7271068636;15.5242670543
125;1719.0;23.377239928;14.4516346593
126;1618.0;25.545041885;15.0473727155
127;1696.0;22.9632478363;14.7520788704
128;1633.0;23.5434391039;14.900568813
129;1672.0;24.9160610717;14.5979785844
130;1620.0;27.4307793782;13.9326224239
131;1653.0;23.2791023333;14.4606526303
132;1708.0;26.1925747526;14.0913915062
133;1715.0;25.6564862613;13.313455979
134;1672.0;23.9442081613;14.8695599946
135;1622.0;23.9638594093;15.8637728909
136;1631.0;24.1934232787;15.0750836248
137;1160.0;37.9735468424;19.9288783169
138;1948.0;22.0193290031;11.9154371771
139;2069.0;20.227892588;11.5757080971
140;1904.0;22.0190729447;12.4317260464
141;1750.0;23.8640994191;13.6369008263
142;1727.0;22.3333282877;14.0686447953
143;1743.0;23.5584715476;14.5209006597
144;1790.0;22.7531105997;13.3192870372
145;1700.0;25.8475233044;13.6377632863
146;1679.0;23.9140959699;14.4686227136
147;1796.0;23.8291777008;12.8863172502
148;1509.0;28.0841403066;15.4206092758
149;1756.0;23.3111564175;13.4479423287
150;1776.0;24.0244357124;13.7105110793
151;1752.0;23.9655143191;13.3997418551
152;873.0;40.5193295904;24.5245023397
153;180.0;275.652852034;142.307928835
154;92.0;147.075941742;90.0321752131
155;2.0;6954.492934;6947.850387
156;2.0;6954.443993;6952.152716
157;2.0;6954.163;6954.323636
158;2.0;6954.745706;6956.155663
159;2.0;6977.440482;6950.488827
160;2.0;6956.838771;6951.739323
161;747.0;261.883238732;162.747611932
162;1575.0;26.9344764586;14.9614173231
163;1633.0;25.6891721091;14.5421203388
164;1670.0;24.6406603911;14.6025015532
165;1606.0;24.9488771536;14.585453491
166;1678.0;25.2467695982;14.9271379786
167;1576.0;27.6794426876;14.6249180885
168;652.0;25.2589295753;13.75243394
169;1389.0;45.0339076272;29.6226221795
170;1620.0;25.4257755956;14.9681483104
171;1766.0;24.0953584201;13.3163010399
172;1607.0;25.6426361303;14.1813227467
173;1763.0;22.875151039;14.6276708397
174;1615.0;25.9176305364;14.3804268111
175;1804.0;23.902045426;13.080254159
176;1777.0;23.049684301;13.5303199983
177;1723.0;23.715233453;14.1398176388
178;1404.0;28.0542670043;17.6012910786
179;1338.0;33.2892649777;17.5001206648
180;2064.0;20.3704686662;11.4110266567
181;2087.0;20.1407337086;11.4894643295
182;1785.0;23.0136608053;13.2370428269
183;1318.0;30.4639578348;18.9067027317
184;1805.0;23.1800612102;13.1068013144
185;1664.0;24.444887034;14.2692567041
186;1726.0;24.686801308;13.7375223727
187;1747.0;23.625295119;13.8830893222
188;1650.0;25.485751808;14.370426796
189;1776.0;23.4342347097;13.4925989703
190;1763.0;23.667538871;13.5976765179
191;1741.0;24.582839342;13.4451118769
192;1682.0;23.909050076;14.7570422437
193;1726.0;25.7700477344;12.995789433
194;965.0;45.322782173;21.0756915348
195;189.0;194.724303774;136.279987756
196;25.0;215.974630556;69.5209046875
197;2.0;3677.417655;3676.80039
198;2.0;3677.782645;3677.012728
199;25.0;3678.45372327;267.761584929
200;2.0;7956.585709;7955.361975
201;2.0;7955.969193;7950.939265
