time;throughput;snd_responsetime;rcv_responsetime
117;1607.0;28.406763206;18.5324545359
118;1849.0;23.8314149484;12.4264836916
119;1744.0;24.8711253133;13.1848094583
120;1737.0;24.0067560915;13.7719284585
121;1661.0;24.4090521664;14.5145969428
122;719.0;49.4408158059;25.1911619834
123;849.0;61.4489675294;31.9172929
124;1464.0;28.7124942008;15.6037647772
125;1744.0;24.4918187681;13.2639165457
126;1760.0;24.4685498919;12.9796541062
127;1791.0;24.0135317699;12.7015806479
128;1775.0;23.7090949778;13.8054294752
129;1801.0;24.4996335513;12.0546344027
130;1722.0;26.0525197123;13.6670204218
131;1586.0;22.3456710588;12.3711038357
132;1515.0;33.8476491045;17.6888339167
133;1724.0;24.672338274;13.6670316533
134;1722.0;24.7961692783;13.5197229119
135;374.0;23.5627723917;14.462400374
136;2.0;3788.984479;3787.137304
137;2.0;3789.989017;3789.064627
138;42.0;3792.70858436;571.28706645
139;1717.0;29.3567961441;14.6733324521
140;1711.0;25.2737817723;13.6464682719
141;1692.0;24.4859342566;14.2834768829
142;1736.0;24.5230526494;13.6772753354
143;1658.0;26.2536839694;13.9213133929
144;1680.0;23.6829244401;14.7696952748
145;1676.0;25.2487341682;14.2450158013
146;1824.0;23.3957017166;12.6619617527
147;1673.0;24.8397812278;14.6131114824
148;1776.0;23.4448604966;13.5920593325
149;1636.0;24.5361359154;15.1799615183
150;1823.0;22.7564886502;13.0103101713
151;1680.0;24.7479993692;14.4729660241
152;1741.0;24.4580872543;13.4937914338
153;1660.0;26.5094386618;13.966563991
154;1862.0;23.3381050032;12.4429245351
155;1642.0;24.6670434647;14.5403068788
156;1784.0;23.2111639524;13.7810921948
157;1722.0;24.5675779548;13.7480578126
158;1658.0;25.8357146758;13.1400181019
159;1693.0;25.4454044938;14.8969785756
160;1616.0;26.9287980168;14.1797984061
161;1544.0;23.7822205562;12.633202535
162;2.0;3908.729477;3867.579116
163;2.0;3908.517275;3906.982578
164;2.0;3886.964608;3907.574446
165;220.0;644.703565167;365.659342466
166;2241.0;20.7049495308;10.2865136334
167;1005.0;49.247461287;20.1715371619
168;2155.0;19.9966382937;10.7912502799
169;1901.0;22.9033028013;12.1032163141
